id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Dreams,North Avenue,hip hop,confident,0.81,96,0.68,0.84,0.14
12,Velvet Horizon,Aster Vale,classical,serene,0.18,64,0.52,0.21,0.97
13,Dust Road Anthem,Cedar Run,country,nostalgic,0.57,102,0.74,0.65,0.63
14,Island Static,Sun Thread,reggae,uplifting,0.63,88,0.83,0.77,0.48
15,Glass Heart Motel,Luna Static,dream pop,dreamy,0.46,98,0.58,0.69,0.55
16,Iron Anthem,Black Forge,metal,rebellious,0.95,168,0.34,0.51,0.04
17,Neon Arcade,Pixel Fever,electronic,playful,0.86,128,0.79,0.91,0.09
18,Blue Note Farewell,Harbor Line,blues,melancholic,0.33,74,0.29,0.47,0.81
